Order,Original ID
1,1856_Paris_DecRespectingMaritimeLaw
2,1863_Geneva_ResolutionsGenevaIntlConf
3,1863_LeiberCode
4,1864_Geneva_Conventionfor_Amelioration
5,1868_DeclRenouncingProjectilesUnder400Gr
6,1868_Geneva_AdditionalArticlesRelatingCo
7,1874_Brussels_DeclLawsCustomsofWar
8,1880_Oxford_LawsWarLand_Oxford
9,1899_Hague_ConventionAdaptionMaritimeWar
10,1899_Hague_ConvII_LawsCustomsWar
11,1899_Hague_DecIV2_AsphyxiatingGases
12,1899_Hague_DecIV3_ExpandingBullets
13,1899_Hague_FinalActHaguePeaceConf
14,1899_Hague_LaunchProjectivesExplosivesBa
15,1904_Hague_HospitalShips
16,1906_Geneva_AmeliorationConditionWounded
19,1907_Hague_ConvIX_BombardmentNavalForces
21,1907_Hague_ConvVI_EnemyMerchantShips
22,1907_Hague_ConvVII_ConversionMerchantShi
23,1907_Hague_ConvVIII_SubmarineMines
18,1907_Hague_ConvVI_WarLandAnnexedRegulati
20,1907_Hague_ConvV_NeutralPowersWaronLand
27,1907_Hague_ConvXIII_NeutralPowersNavalWa
28,1907_Hague_DecXIV_ExplosivesBalloons
29,1907_Hague_FinalActSecondPeaceConf
26,1907_Hague_IntlPrizeCourt
24,1907_Hague_MaritimeWarfareGenevaConventi
17,1907_Hague_OpeningHostilities
25,1907_Hague_RestrictionsRightCapture
30,1909_London_FinalProtocolNavalConference
31,1909_London_LawsNavalWar
32,1910_Hague_AdditionalProtocolPrizeCourt
33,1913_Oxford_ManualLawsNavalWar
34,1922_Washington_SubmarinesNoxiousGasesin
35,1923_Hague_WirelessTelegraphWarAirfare
36,1925_Geneva_Protcl_AsphyxiatingPoisonous
37,1928_Havana_Conv_MaritimeNeutrality
38,1929_Geneva_FinalActDiplomaticConf
39,1929_Geneva_TreatmentPOWs
40,1929_Geneva_WoundedSickArmiesField
41,1930_London_Trty_LimitationReductionNava
42,1934_Monaco_SanitaryCitiesLocalities
43,1934_Tokyo_CiviliansEnemyNationality
44,1935_Washington_Trty_ArtisticScientificI
45,1936_London_PV_SubmarineWarfare
46,1937_Geneva_SuppLyonAgreement
47,1937_Nyon_NyonAgreement
48,1938_Amsterdam_Draft_Convention_for_the_
49,1945_London_CharterNuremberg
50,1946_UNPrinciplesNurembergTribunal
51,1948_PreventionPunishmentGenocide
52,1949_1_First_Geneva_Convention_WoundedSi
54,1949_3_Third_Geneva_Convention_POWs
73,1977_Geneva_AnnexI_AP1
72,1977_Geneva_AdditionalProtocol_II
70,1976_New_York_ConventionProhibitionEnvir
85,1993_Annex1_Protocol1_GenevaConventions
84,1989_NewYork_ConventionMercenaries
55,1949_4_Fourth_Geneva_Convention_Civilian
56,1949_Geneva_FinalActDiplomaticConference
57,1949_Geneva_ResolutionsDiplomaticConfere
58,1950_PrinciplesILNuremberg
59,1954_Hague_Conv_ProtectionCulturalProper
60,1954_Hague_FinalActCulturalPropArmedConf
61,1954_Hague_Protcl_ProtectionCulturalProp
62,1954_Hague_Resols_CulturalProp
63,1956_ICRC_DangersCivilianPopulation
64,1968_StatLimitationsWarCrimes
65,1968_Tehran_HumanRightsArmedConflicts
66,1968_UNResolution_HumanRightsArmedConfli
67,1969_InstIntLawResolution_MilitaryObject
68,1971_NewYork_Conv_ProhibitionBiologicalW
69,1974_Strasbourg_StatLimitationsWarCrimes
71,1977_Geneva_Convention_Additional_Protoc
74,1977_Geneva_FinalActDiplConv
75,1977_Geneva_ResolutionsDipConference
76,1977_OAU_Convention_Mercenaries
77,1979_Geneva_Resolution_SmallCalibreWeapo
78,1980_FinalActCCW
81,1980_Geneva_CCWProtocolIIIIncendiaryWeap
80,1980_Geneva_CCWProtocolIIMinesBoobytraps
79,1980_Geneva_CCWProtocolINon_DetectableFr
82,1980_Geneva_Convention_ProhibitingCCW
83,1989_ConventionRightsChild
86,1993_Paris_ConventionProhibChemWeapons
87,1993_StatuteCriminalTribFormerYugoslavia
88,1994_SamRemo_Manual_ArmedConflictsatSea
89,1994_StatuteCriminalTribRwanda
90,1995_CCW_ProtocolIVBlindingLaserWeapons
91,1996_CCW_ProctocolIIMinesBoobyTrapsAmend
92,1997_Convention_AntiPersonnelMines
93,1998_Rome_Statute_of_the_International_C
94,1999_Hague_SecondProtocolCulturalPropert
95,2000_OptionalProtocol_CRC
96,2001_Geneva_CCW_AmendmentArticle1
97,2002_StatuteSpecialCourtSierraLeone
98,2003_CCW1980_ProtocolV_ExplosiveRemants
99,2005_Geneva_Convention_Protocol_III
100,2006_ConventionProtectionEnforcedDisappe
101,2008_ConventionClusterMunitions
102,2010_RomeStatute_AmendmentArts8_15_15
103,2010_RomeStatute_Art8Amendment
104,2013_NewYork_Arms_Trade_Treaty
105,2015_RomeStatute_AmendmentArt124
106,2017_NuclearWeapons
107,2017_RomeStatute_AmendmentArt8_2BXXIX_2E
108,2017_RomeStatute_AmendmentArt8_2BXXVII_2
109,2017_RomeStatute_AmendmentArt8_2BXXVIII_
110,2019_RomeStatute_AmendmentArt8_2EXIX
53,1949_2_Second_Geneva_Convention_WoundedS
